TEAM_ID,SEASON,W_PCT,PTS,REB,AST,TOV,FG_PCT,FG3_PCT,FT_PCT,STL,BLK,OREB,DREB,PF,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,AST_PCT,REB_PCT,TM_TOV_PCT
1610612737,2015-16,0.585,102.8,42.1,25.6,15.0,0.458,0.35,0.783,9.1,5.9,8.3,33.8,19.1,104.6,100.8,3.9,97.63,0.552,0.663,0.474,0.152
1610612738,2015-16,0.585,105.7,44.9,24.2,13.7,0.439,0.335,0.788,9.2,4.2,11.6,33.3,21.9,105.8,102.5,3.3,99.43,0.531,0.616,0.495,0.138
1610612751,2015-16,0.256,98.6,42.4,22.3,14.8,0.453,0.352,0.757,7.6,4.0,10.5,31.9,18.0,102.4,109.7,-7.4,96.12,0.527,0.583,0.494,0.153
1610612766,2015-16,0.585,103.4,43.9,21.7,12.5,0.439,0.362,0.79,7.3,5.3,9.0,35.0,18.1,106.4,103.7,2.7,96.24,0.545,0.586,0.499,0.129
1610612741,2015-16,0.512,101.6,46.3,22.8,13.9,0.441,0.371,0.787,6.0,5.7,11.1,35.2,18.8,104.1,105.5,-1.4,96.6,0.526,0.591,0.506,0.142
1610612739,2015-16,0.695,104.3,44.5,22.7,13.6,0.46,0.362,0.748,6.7,3.9,10.6,33.9,20.3,110.2,103.9,6.3,93.82,0.558,0.587,0.519,0.143
1610612742,2015-16,0.512,102.3,43.1,22.1,12.8,0.444,0.344,0.794,6.8,3.7,9.2,33.9,19.5,105.5,105.9,-0.4,95.34,0.544,0.592,0.484,0.132
1610612743,2015-16,0.402,101.9,44.6,22.7,14.7,0.442,0.338,0.766,7.4,4.8,11.5,33.1,21.0,104.9,108.2,-3.3,96.34,0.531,0.601,0.513,0.151
1610612765,2015-16,0.537,102.0,46.3,19.4,13.5,0.439,0.345,0.668,7.0,3.7,12.5,33.9,19.0,105.3,104.9,0.3,95.75,0.522,0.512,0.521,0.14
1610612744,2015-16,0.89,114.9,46.2,28.9,15.2,0.487,0.416,0.763,8.4,6.1,10.0,36.2,20.7,113.5,102.8,10.6,100.24,0.593,0.68,0.507,0.15
1610612745,2015-16,0.5,106.5,43.1,22.2,15.9,0.452,0.347,0.694,10.0,5.2,11.3,31.7,21.8,107.3,107.3,0.0,98.42,0.553,0.589,0.492,0.161
1610612754,2015-16,0.549,102.2,44.2,21.2,14.9,0.45,0.351,0.764,9.0,4.8,10.3,33.9,20.0,103.8,102.2,1.6,97.35,0.536,0.554,0.494,0.151
1610612746,2015-16,0.646,104.5,42.0,22.8,13.0,0.465,0.364,0.692,8.6,5.6,8.8,33.3,21.3,107.2,102.7,4.5,96.81,0.556,0.596,0.472,0.133
1610612747,2015-16,0.207,97.3,43.0,18.0,13.7,0.414,0.317,0.781,7.2,4.1,10.7,32.3,20.3,100.7,110.3,-9.7,96.55,0.509,0.513,0.484,0.142
1610612763,2015-16,0.512,99.1,41.6,20.7,13.3,0.44,0.331,0.783,8.8,4.3,11.2,30.5,21.7,104.7,107.1,-2.4,93.95,0.524,0.562,0.495,0.14
1610612748,2015-16,0.585,100.0,44.1,20.8,14.1,0.47,0.336,0.744,6.7,6.5,9.8,34.3,18.3,105.5,103.7,1.7,94.14,0.545,0.543,0.512,0.148
1610612749,2015-16,0.402,99.0,41.7,23.1,15.2,0.467,0.345,0.747,8.2,5.8,10.5,31.2,20.7,103.4,107.8,-4.5,95.05,0.537,0.603,0.49,0.159
1610612750,2015-16,0.354,102.4,41.6,23.4,15.0,0.464,0.338,0.792,8.0,4.6,10.0,31.5,20.7,105.4,109.0,-3.5,96.2,0.549,0.619,0.494,0.155
1610612740,2015-16,0.366,102.7,42.6,22.2,13.4,0.448,0.36,0.776,7.7,4.2,9.5,33.1,20.9,104.8,108.4,-3.7,97.64,0.537,0.577,0.493,0.137
1610612752,2015-16,0.39,98.4,44.4,20.5,13.4,0.439,0.346,0.805,5.7,5.7,10.4,34.0,19.7,103.9,106.7,-2.8,94.12,0.527,0.557,0.502,0.142
1610612760,2015-16,0.671,110.2,48.6,23.0,15.9,0.476,0.349,0.782,7.4,5.9,13.1,35.6,20.6,112.1,104.8,7.4,97.54,0.565,0.558,0.541,0.162
1610612753,2015-16,0.427,102.1,43.3,23.6,14.1,0.455,0.35,0.757,8.2,5.1,10.3,33.0,20.7,104.4,106.0,-1.6,96.68,0.533,0.596,0.495,0.144
